pathogen,split,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,epidemic_duration,vaccinations_administered
sarscov2,"[0.0, 0.0, 1.0]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,73569.44928511253,322.0370623983663,73569,304,95133.20510800203
sarscov2,"[0.0, 0.0, 1.0]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,68778.58906224594,274.03726515323666,68778,340,98107.13520498056
sarscov2,"[0.0, 0.0, 1.0]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,65356.58966540631,242.85267920223782,65356,374,99159.77401219444
sarscov2,"[0.0, 0.0, 1.0]",0,deaths,"[0.0, 1.0, 2.0]",0.1,0.5,73551.1493298521,321.85154127803213,73551,304,95224.72464707794
sarscov2,"[0.0, 0.0, 1.0]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,68448.84795706945,270.9802022675328,68448,340,98459.20304423323
sarscov2,"[0.0, 0.0, 1.0]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,64690.21998555635,237.1272699626947,64690,377,99442.94771483327
sarscov2,"[0.0, 0.0, 1.0]",0,cases_within,"[0.0, 1.0, 2.0]",0.1,0.5,73569.44928511253,322.0370623983663,73569,304,95133.20510800203
sarscov2,"[0.0, 0.0, 1.0]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,68778.58906224594,274.03726515323666,68778,340,98107.13520498056
sarscov2,"[0.0, 0.0, 1.0]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,65356.58966540631,242.85267920223782,65356,374,99159.77401219444
sarscov2,"[0.0, 0.0, 1.0]",0,deaths_within,"[0.0, 1.0, 2.0]",0.1,0.5,73551.1493298521,321.85154127803213,73551,304,95224.72464707794
sarscov2,"[0.0, 0.0, 1.0]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,68448.84795706945,270.9802022675328,68448,340,98459.20304423323
sarscov2,"[0.0, 0.0, 1.0]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,64690.21998555635,237.1272699626947,64690,377,99442.94771483327
sarscov2,"[0.0, 0.05, 0.9500000000000001]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,74118.63646784215,327.8596542467706,74118,301,94175.59870227812
sarscov2,"[0.0, 0.05, 0.9500000000000001]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,69200.21259291774,278.0270100387371,69199,337,97681.35152344224
sarscov2,"[0.0, 0.05, 0.9500000000000001]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,65665.91563257024,245.54909792599435,65665,371,98943.95049790097
sarscov2,"[0.0, 0.05, 0.9500000000000001]",0,deaths,"[0.0, 1.0, 2.0]",0.1,0.5,74102.40633756442,327.6943189861644,74102,301,94283.14427009203
sarscov2,"[0.0, 0.05, 0.9500000000000001]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,68874.73603397352,274.9844844787139,68873,337,98113.82514803259
sarscov2,"[0.0, 0.05, 0.9500000000000001]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,64986.66949668106,239.67767566397583,64985,374,99302.43362625835
sarscov2,"[0.0, 0.05, 0.9500000000000001]",0,cases_within,"[0.0, 1.0, 2.0]",0.1,0.5,74115.92673385039,327.83129722630923,74115,301,94195.62802776069
sarscov2,"[0.0, 0.05, 0.9500000000000001]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,69180.51802777141,277.84310557662866,69179,337,97751.59648610993
sarscov2,"[0.0, 0.05, 0.9500000000000001]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,65639.17130890547,245.31885035115403,65638,372,99009.66280422456
sarscov2,"[0.0, 0.05, 0.9500000000000001]",0,deaths_within,"[0.0, 1.0, 2.0]",0.1,0.5,74101.58506319729,327.6859480555143,74101,301,94297.62011961933
sarscov2,"[0.0, 0.05, 0.9500000000000001]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,68866.94609928208,274.9138278760309,68866,337,98167.39056086063
sarscov2,"[0.0, 0.05, 0.9500000000000001]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,64975.27453641042,239.58336590614903,64974,374,99341.60353061483
sarscov2,"[0.0, 0.1, 0.9]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,74656.68300430496,333.6386497200972,74656,298,93198.03186786857
sarscov2,"[0.0, 0.1, 0.9]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,69614.3514637571,281.98588918344336,69613,334,97252.31113794752
sarscov2,"[0.0, 0.1, 0.9]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,65970.01003726281,248.21992550485047,65969,369,98740.93958809957
sarscov2,"[0.0, 0.1, 0.9]",0,deaths,"[0.0, 1.0, 2.0]",0.1,0.5,74641.91060713373,333.4873721322077,74641,298,93321.25181226239
sarscov2,"[0.0, 0.1, 0.9]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,69288.95435782954,278.91838207919625,69288,334,97765.04357111358
sarscov2,"[0.0, 0.1, 0.9]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,65273.79369169126,242.16527800669076,65273,371,99163.06798207731
sarscov2,"[0.0, 0.1, 0.9]",0,cases_within,"[0.0, 1.0, 2.0]",0.1,0.5,74651.72405319892,333.58607864740804,74651,298,93235.67747017216
sarscov2,"[0.0, 0.1, 0.9]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,69578.06080304939,281.64363993795314,69577,334,97384.41530473385
sarscov2,"[0.0, 0.1, 0.9]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,65920.34457939085,247.78970489693413,65920,369,98844.99705049601
sarscov2,"[0.0, 0.1, 0.9]",0,deaths_within,"[0.0, 1.0, 2.0]",0.1,0.5,74640.02487800835,333.4676867473482,74639,298,93348.43078419032
sarscov2,"[0.0, 0.1, 0.9]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,69271.87368634045,278.76063858447816,69271,334,97865.59136104032
sarscov2,"[0.0, 0.1, 0.9]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,65247.40550829697,241.94302217268358,65247,371,99236.3810220593
sarscov2,"[0.0, 0.15000000000000002, 0.8500000000000001]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,75184.02424036217,339.3750898635342,75183,295,92200.21889513443
sarscov2,"[0.0, 0.15000000000000002, 0.8500000000000001]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,70021.3283796413,285.915215226732,70020,331,96819.50200563497
sarscov2,"[0.0, 0.15000000000000002, 0.8500000000000001]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,66268.96579326973,250.865588472887,66268,366,98528.45192917969
sarscov2,"[0.0, 0.15000000000000002, 0.8500000000000001]",0,deaths,"[0.0, 1.0, 2.0]",0.1,0.5,75170.88373241655,339.24014589601495,75170,295,92338.4917335617
sarscov2,"[0.0, 0.15000000000000002, 0.8500000000000001]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,69697.56936533144,282.837778393482,69696,331,97411.85267275241
sarscov2,"[0.0, 0.15000000000000002, 0.8500000000000001]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,65558.31509511758,244.64779837945025,65558,368,99024.34168585652
sarscov2,"[0.0, 0.15000000000000002, 0.8500000000000001]",0,cases_within,"[0.0, 1.0, 2.0]",0.1,0.5,75177.23578805836,339.3022048939549,75177,295,92253.11390647064
sarscov2,"[0.0, 0.15000000000000002, 0.8500000000000001]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,69971.31387003348,285.4389166063085,69970,331,97005.29193509453
sarscov2,"[0.0, 0.15000000000000002, 0.8500000000000001]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,66200.16319780346,250.26530922614245,66199,366,98674.53741993883
sarscov2,"[0.0, 0.15000000000000002, 0.8500000000000001]",0,deaths_within,"[0.0, 1.0, 2.0]",0.1,0.5,75168.13675396828,339.2110184867041,75167,295,92376.39382494462
sarscov2,"[0.0, 0.15000000000000002, 0.8500000000000001]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,69672.84803514405,282.6066866053803,69672,331,97552.59371753102
sarscov2,"[0.0, 0.15000000000000002, 0.8500000000000001]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,65520.02628890336,244.32240339758886,65519,368,99126.89335470126
sarscov2,"[0.0, 0.2, 0.8]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,75701.12992453258,345.07034515275524,75700,293,91247.59654344575
sarscov2,"[0.0, 0.2, 0.8]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,70421.2257726064,289.8140595050684,70420,328,96382.4509385224
sarscov2,"[0.0, 0.2, 0.8]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,66563.06216299592,253.48741861450037,66562,363,98316.35981061535
sarscov2,"[0.0, 0.2, 0.8]",0,deaths,"[0.0, 1.0, 2.0]",0.1,0.5,75689.72685075621,344.9536054358142,75689,292,91334.51529178195
sarscov2,"[0.0, 0.2, 0.8]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,70100.80307257164,286.74355862166254,70100,328,97053.61588423022
sarscov2,"[0.0, 0.2, 0.8]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,65840.35448751604,247.1258940485514,65840,365,98885.85653171295
sarscov2,"[0.0, 0.2, 0.8]",0,cases_within,"[0.0, 1.0, 2.0]",0.1,0.5,75692.89367603147,344.98080827626495,75692,293,91313.48574902254
sarscov2,"[0.0, 0.2, 0.8]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,70360.21206543931,289.22713216117245,70359,329,96643.68325861626
sarscov2,"[0.0, 0.2, 0.8]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,66478.67615019377,252.74568683614797,66478,364,98511.81746950101
sarscov2,"[0.0, 0.2, 0.8]",0,deaths_within,"[0.0, 1.0, 2.0]",0.1,0.5,75686.30784581281,344.9168459604943,75685,292,91381.25465726409
sarscov2,"[0.0, 0.2, 0.8]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,70070.00227852727,286.4525004757369,70069,328,97228.04773776041
sarscov2,"[0.0, 0.2, 0.8]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,65792.48425010861,246.71561649584478,65791,366,99022.86156185238
sarscov2,"[0.0, 0.25, 0.75]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,76208.27201889292,350.72467998242433,76207,290,90213.16647287669
sarscov2,"[0.0, 0.25, 0.75]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,70814.46855197276,293.6846521043916,70814,326,95973.45835709962
sarscov2,"[0.0, 0.25, 0.75]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,66852.5649102098,256.08669495744005,66851,361,98119.96338353108
sarscov2,"[0.0, 0.25, 0.75]",0,deaths,"[0.0, 1.0, 2.0]",0.1,0.5,76198.87631809781,350.6290361234654,76197,290,90378.99647331967
sarscov2,"[0.0, 0.25, 0.75]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,70498.85450301663,290.6364650561633,70498,325,96689.71580359657
sarscov2,"[0.0, 0.25, 0.75]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,66120.10994266473,249.60066830942358,66119,363,98758.67558384314
sarscov2,"[0.0, 0.25, 0.75]",0,cases_within,"[0.0, 1.0, 2.0]",0.1,0.5,76198.93511596043,350.62193145296544,76198,290,90289.73160292211
sarscov2,"[0.0, 0.25, 0.75]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,70744.79174418385,293.00833063109224,70744,326,96242.43369107903
sarscov2,"[0.0, 0.25, 0.75]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,66755.73558670518,255.22991191420692,66755,361,98330.56121270874
sarscov2,"[0.0, 0.25, 0.75]",0,deaths_within,"[0.0, 1.0, 2.0]",0.1,0.5,76194.95575433172,350.58632869158566,76194,290,90432.88910895603
sarscov2,"[0.0, 0.25, 0.75]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,70463.40859354663,290.2980510254218,70463,325,96891.60454825121
sarscov2,"[0.0, 0.25, 0.75]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,66064.62356619156,249.12187945217136,66064,363,98905.37270179632
sarscov2,"[0.0, 0.30000000000000004, 0.7000000000000001]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,76705.87616213816,356.33939152310074,76705,287,89157.73922124444
sarscov2,"[0.0, 0.30000000000000004, 0.7000000000000001]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,71201.17951993587,297.5272191083137,71200,323,95529.19913348524
sarscov2,"[0.0, 0.30000000000000004, 0.7000000000000001]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,67137.40005564145,258.6624911730195,67137,358,97908.99064596946
sarscov2,"[0.0, 0.30000000000000004, 0.7000000000000001]",0,deaths,"[0.0, 1.0, 2.0]",0.1,0.5,76698.57281285725,356.26659746494863,76697,287,89336.39846268162
sarscov2,"[0.0, 0.30000000000000004, 0.7000000000000001]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,70891.96976016945,294.5174932960581,70891,323,96351.11033444952
