pathogen,split,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,epidemic_duration,vaccinations_administered
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",0.0,0.25,92635.3831716447,564.7879688745758,92634,224,33045.20045372735
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",0.0,0.5,89518.36052268426,525.9738812757879,89518,233,33789.20982510325
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",0.0,0.9,76712.62618843533,463.6324026983323,76711,242,34518.441617353514
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",0.5,0.25,91343.86566537607,534.8296880642317,91342,231,57745.597024961855
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",0.5,0.5,84841.97278599592,458.0401587211119,84841,251,60886.75783042473
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",0.5,0.9,55352.69065471929,314.15287420994844,55352,273,66078.94608119717
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.25,90369.8359275712,512.8611473493731,90369,236,70703.83489160176
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,80793.23879312383,404.915270187234,80792,269,75555.28692989211
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.9,32613.320211967264,174.02188858813128,32613,305,83959.0480069298
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",1.5,0.25,89621.75510006031,496.3350233146794,89621,241,78353.1866615481
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",1.5,0.5,77346.86917923264,363.4616783729073,77345,287,83876.02901916766
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",1.5,0.9,13267.021459841664,67.28021225092371,13266,316,91956.62887892421
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.25,89036.98470030916,483.6170723483988,89036,246,83254.66375960386
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,74452.19541165052,331.1101141833896,74451,305,88832.3850079475
sarscov2,"[0.5, 0.5, 0.0]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.9,4222.1355799121,20.820693515683722,4221,286,94314.22952084398
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",0.0,0.25,92635.3831716447,564.7879688745758,92634,224,33045.20045372735
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",0.0,0.5,89518.36052268426,525.9738812757879,89518,233,33789.20982510325
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",0.0,0.9,76712.62618843533,463.6324026983323,76711,242,34518.441617353514
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",0.5,0.25,91388.83272729011,535.9476083296308,91388,230,58015.42893367939
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",0.5,0.5,85004.53911780864,460.3302917725697,85003,249,61763.612818588685
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",0.5,0.9,56926.243761974416,324.1560534656465,56926,267,65957.65270878086
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.25,90392.1501900064,513.5161630694895,90392,236,71944.31881507713
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,80840.69640794003,405.6179642104755,80840,266,77858.73944559271
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.9,35529.31942632026,190.49101311748612,35529,292,84309.70772308455
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",1.5,0.25,89595.69782506654,495.9641027356405,89595,241,80090.88200635291
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",1.5,0.5,77103.53594513916,360.8165679295733,77103,285,87023.38287214178
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",1.5,0.9,16459.707805239334,83.73060972877678,16458,299,92617.265601901
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.25,88957.49370288849,482.1226915056664,88956,245,85099.36266704829
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,73839.93612411027,324.73596114639304,73839,303,92053.41252242582
sarscov2,"[0.5, 0.5, 0.0]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.9,6131.430602981733,30.185758254803044,6131,276,95398.64738155485
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",0.0,0.25,92635.3831716447,564.7879688745758,92634,224,33045.20045372735
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",0.0,0.5,89518.36052268426,525.9738812757879,89518,233,33789.20982510325
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",0.0,0.9,76712.62618843533,463.6324026983323,76711,242,34518.441617353514
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",0.5,0.25,91363.53839296431,535.24922361119,91363,231,56578.72920654777
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",0.5,0.5,84894.99822470009,458.75516908385174,84894,251,59747.188080557884
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",0.5,0.9,55420.40458605464,314.61880139097786,55419,273,65642.4541629049
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.25,90399.53430891439,513.4799722668009,90398,236,69358.4130540776
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,80890.65907680895,406.11061695645685,80890,269,74178.66899391363
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.9,32770.70251926489,174.96616697522336,32770,305,83433.84617207848
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",1.5,0.25,89656.11408994129,497.03839667838986,89655,241,77078.62690247441
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",1.5,0.5,77478.74132477668,364.95508812872146,77478,287,82563.71320526523
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",1.5,0.9,13417.059017630647,68.09098499028251,13416,317,91594.79979513476
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.25,89073.0208218162,484.3446801900576,89072,246,82105.12470463266
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,74608.69027296123,332.7667489816806,74608,305,87665.29986631434
sarscov2,"[0.5, 0.5, 0.0]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.9,4275.572872995804,21.096412786844066,4274,288,94119.41094626044
sarscov2,"[0.5, 0.5, 0.0]",0,deaths,"[0.0, 1.0, 2.0]",0.0,0.25,92635.3831716447,564.7879688745758,92634,224,33045.20045372735
sarscov2,"[0.5, 0.5, 0.0]",0,deaths,"[0.0, 1.0, 2.0]",0.0,0.5,89518.36052268426,525.9738812757879,89518,233,33789.20982510325
sarscov2,"[0.5, 0.5, 0.0]",0,deaths,"[0.0, 1.0, 2.0]",0.0,0.9,76712.62618843533,463.6324026983323,76711,242,34518.441617353514
