,pathogen,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,peak_deaths,epidemic_duration,vaccinations_administered
0,sarscov2,0,cases,0.0,0.0,0.25,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
1,sarscov2,0,cases,0.0,0.0,0.5,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
2,sarscov2,0,cases,0.0,0.0,0.9,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
3,sarscov2,0,cases,0.0,1.0,0.25,91380.16658059368,535.6179883011207,26739.50726691002,535.6179883011207,231,57274.20485587372
4,sarscov2,0,cases,0.0,1.0,0.5,84796.48236145143,457.405387228858,21960.117506056074,457.405387228858,251,61357.343682280014
5,sarscov2,0,cases,0.0,1.0,0.9,53342.64052177025,300.77496748276513,10998.420662763412,300.77496748276513,273,70325.96307652733
6,sarscov2,0,cases,0.0,2.0,0.25,89764.38936182932,499.33791483985726,24770.780115088797,499.33791483985726,241,75862.7057288113
7,sarscov2,0,cases,0.0,2.0,0.5,77755.94491234829,368.1453668926548,16807.754323342444,368.1453668926548,286,81917.7911389715
8,sarscov2,0,cases,0.0,2.0,0.9,12593.43434088126,63.70581184236171,1608.846763158631,63.70581184236171,313,92524.98605850893
9,sarscov2,0,cases,1.0,0.0,0.25,91010.02898775166,527.5057337978067,26382.70361335372,527.5057337978067,232,67413.7241771022
10,sarscov2,0,cases,1.0,0.0,0.5,83725.97222703684,443.0238283211568,21273.579206404334,443.0238283211568,254,70799.25214366765
11,sarscov2,0,cases,1.0,0.0,0.9,51635.45826102901,289.5128136478206,10512.261589008733,289.5128136478206,273,73580.0003213479
12,sarscov2,0,cases,1.0,1.0,0.25,89301.77124896235,489.615491916392,24315.656946399653,489.615491916392,243,84257.37843392688
13,sarscov2,0,cases,1.0,1.0,0.5,76047.8235408109,348.82977618332467,15868.435275805447,348.82977618332467,292,89370.52455514188
14,sarscov2,0,cases,1.0,1.0,0.9,10734.550333524403,53.91643837711284,1383.4404292203653,53.91643837711284,304,93684.82288748313
15,sarscov2,0,cases,1.0,2.0,0.25,88284.60491639884,467.7446571423459,23066.071419111162,467.7446571423459,251,90508.85499339562
16,sarscov2,0,cases,1.0,2.0,0.5,70740.22322968449,292.8359685533354,12607.87617472196,292.8359685533354,329,95247.32450863907
17,sarscov2,0,cases,1.0,2.0,0.9,1332.6333159195547,6.450709297438337,177.5397130521713,6.450709297438337,236,95468.46311962655
18,sarscov2,0,cases,2.0,0.0,0.25,88829.27461954381,479.7902179799868,23830.89705500885,479.7902179799868,245,90602.16555768793
19,sarscov2,0,cases,2.0,0.0,0.5,74230.44337282961,329.085496674954,14907.75171982783,329.085496674954,300,94532.7189258973
20,sarscov2,0,cases,2.0,0.0,0.9,9113.497963060046,45.46805498902289,1189.1918257059497,45.46805498902289,295,94636.3268400189
21,sarscov2,0,cases,2.0,1.0,0.25,87837.73205685797,458.6573758056699,22611.961485319778,458.6573758056699,254,94931.24863559134
22,sarscov2,0,cases,2.0,1.0,0.5,68778.59512068561,274.03732268050726,11672.787454791549,274.03732268050726,340,98107.13474947894
23,sarscov2,0,cases,2.0,1.0,0.9,1162.3011269194062,5.60460438052331,159.53252294029772,5.60460438052331,227,95872.20050669923
24,sarscov2,0,cases,2.0,2.0,0.25,87234.66210712686,445.9922823771554,21855.098479547756,445.9922823771554,259,96700.03316805988
25,sarscov2,0,cases,2.0,2.0,0.5,65356.60162261416,242.85278414030464,9800.675468110836,242.85278414030464,374,99159.77367593064
26,sarscov2,0,cases,2.0,2.0,0.9,325.77202260041815,1.5428487066597725,50.10883972735366,1.5428487066597725,177,95897.653542014
27,sarscov2,0,deaths,0.0,0.0,0.25,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
28,sarscov2,0,deaths,0.0,0.0,0.5,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
29,sarscov2,0,deaths,0.0,0.0,0.9,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
30,sarscov2,0,deaths,0.0,1.0,0.25,91447.40109276638,537.3582769543403,26883.549073104034,537.3582769543403,229,58433.05843136233
31,sarscov2,0,deaths,0.0,1.0,0.5,85064.21849639209,461.2090098303946,22310.799626484077,461.2090098303946,248,64134.260637905594
32,sarscov2,0,deaths,0.0,1.0,0.9,56666.3270428513,321.7239182690138,12377.603213246883,321.7239182690138,261,70399.29277450206
33,sarscov2,0,deaths,0.0,2.0,0.25,89712.94786868371,498.48934843494567,24785.388768429537,498.48934843494567,240,78413.0570011986
34,sarscov2,0,deaths,0.0,2.0,0.5,77380.84140326148,364.01659588717314,16801.15297744555,364.01659588717314,282,86556.69989164265
35,sarscov2,0,deaths,0.0,2.0,0.9,17091.156203170398,86.83691656898385,2483.1119964736145,86.83691656898385,291,93506.20317829157
36,sarscov2,0,deaths,1.0,0.0,0.25,91010.02898775166,527.5057337978067,26382.70361335372,527.5057337978067,232,67413.7241771022
37,sarscov2,0,deaths,1.0,0.0,0.5,83725.97222703684,443.0238283211568,21273.579206404334,443.0238283211568,254,70799.25214366765
38,sarscov2,0,deaths,1.0,0.0,0.9,51635.45826102901,289.5128136478206,10512.261589008733,289.5128136478206,273,73580.0003213479
39,sarscov2,0,deaths,1.0,1.0,0.25,89289.46211559576,489.48149787717966,24325.987750208147,489.48149787717966,242,85061.75923919442
40,sarscov2,0,deaths,1.0,1.0,0.5,75881.30331353022,347.06770138707185,15878.370741248154,347.06770138707185,291,90992.903409661
41,sarscov2,0,deaths,1.0,1.0,0.9,12695.494453741756,63.86010249821554,1737.655997399339,63.86010249821554,294,94149.85294892051
42,sarscov2,0,deaths,1.0,2.0,0.25,88194.94395771716,466.0154180916128,22995.378463093068,466.0154180916128,250,91596.57325679385
43,sarscov2,0,deaths,1.0,2.0,0.5,69998.0489798775,285.690487357129,12337.54842718301,285.690487357129,329,96801.18339879192
44,sarscov2,0,deaths,1.0,2.0,0.9,1975.5313787613309,9.517108236474042,280.27306449020443,9.517108236474042,234,96550.18015546651
45,sarscov2,0,deaths,2.0,0.0,0.25,88829.27461954381,479.7902179799868,23830.89705500885,479.7902179799868,245,90602.16555768793
46,sarscov2,0,deaths,2.0,0.0,0.5,74230.44337282961,329.085496674954,14907.75171982783,329.085496674954,300,94532.7189258973
47,sarscov2,0,deaths,2.0,0.0,0.9,9113.497963060046,45.46805498902289,1189.1918257059497,45.46805498902289,295,94636.3268400189
48,sarscov2,0,deaths,2.0,1.0,0.25,87812.44481554626,458.20359317145596,22594.142184334392,458.20359317145596,253,95190.0465968571
49,sarscov2,0,deaths,2.0,1.0,0.5,68503.69432382954,271.4974237721065,11583.714175332349,271.4974237721065,340,98455.92890463125
50,sarscov2,0,deaths,2.0,1.0,0.9,1445.3084948744806,6.95222295972653,204.4002660221885,6.95222295972653,227,96417.0812229075
51,sarscov2,0,deaths,2.0,2.0,0.25,87164.94680104427,444.63861403055193,21792.530384709695,444.63861403055193,259,97083.94646525345
52,sarscov2,0,deaths,2.0,2.0,0.5,64761.2854509604,237.7426242996616,9562.972752237696,237.7426242996616,376,99435.72358489556
53,sarscov2,0,deaths,2.0,2.0,0.9,469.89527739191834,2.212843421705312,75.3813802021215,2.212843421705312,180,96880.47077118441
54,sarscov2,56,cases,0.0,0.0,0.25,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
55,sarscov2,56,cases,0.0,0.0,0.5,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
56,sarscov2,56,cases,0.0,0.0,0.9,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
57,sarscov2,56,cases,0.0,1.0,0.25,91381.20067231526,535.6355907053509,26739.77055141608,535.6355907053509,231,54268.94841083935
58,sarscov2,56,cases,0.0,1.0,0.5,84801.80502130749,457.46976703108953,21960.87742337296,457.46976703108953,251,56794.92826577104
59,sarscov2,56,cases,0.0,1.0,0.9,53360.33261717433,300.90981060788926,10999.345983539668,300.90981060788926,274,67793.22258440527
60,sarscov2,56,cases,0.0,2.0,0.25,89767.00519510251,499.38194943867245,24771.658047210574,499.38194943867245,241,71842.5520429885
61,sarscov2,56,cases,0.0,2.0,0.5,77780.30531154588,368.4006168111004,16811.810030039956,368.4006168111004,287,76084.85323643769
62,sarscov2,56,cases,0.0,2.0,0.9,12692.102849700366,64.2635855507587,1612.1951866344084,64.2635855507587,319,90756.50897181341
63,sarscov2,56,cases,1.0,0.0,0.25,91010.02898775166,527.5057337978067,26382.70361335372,527.5057337978067,232,67413.7241771022
64,sarscov2,56,cases,1.0,0.0,0.5,83725.97222703684,443.0238283211568,21273.579206404334,443.0238283211568,254,70799.25214366765
65,sarscov2,56,cases,1.0,0.0,0.9,51635.45826102901,289.5128136478206,10512.261589008733,289.5128136478206,273,73580.0003213479
