,pathogen,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,peak_deaths,epidemic_duration,vaccinations_administered
0,sarscov2,0,cases,0.0,0.0,0.25,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
1,sarscov2,0,cases,0.0,0.0,0.5,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
2,sarscov2,0,cases,0.0,0.0,0.9,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
3,sarscov2,0,cases,0.0,0.5,0.25,92557.02383232416,562.9959986933737,28183.6685420448,562.9959986933737,224,37442.47632851854
4,sarscov2,0,cases,0.0,0.5,0.5,89164.62610139103,520.6012439392503,25574.20920679089,520.6012439392503,234,39372.41982500116
5,sarscov2,0,cases,0.0,0.5,0.9,74576.19214763369,447.35352565787923,19552.428232255523,447.35352565787923,242,42968.98295012537
6,sarscov2,0,cases,0.0,1.0,0.25,91380.16658059368,535.6179883011207,26739.50726691002,535.6179883011207,231,57274.20485587372
7,sarscov2,0,cases,0.0,1.0,0.5,84796.48236145143,457.405387228858,21960.117506056074,457.405387228858,251,61357.343682280014
8,sarscov2,0,cases,0.0,1.0,0.9,53342.64052177025,300.77496748276513,10998.420662763412,300.77496748276513,273,70325.96307652733
9,sarscov2,0,cases,0.0,1.5,0.25,90473.68407973464,515.0840897097597,25637.000394304603,515.0840897097597,236,68659.63596469242
10,sarscov2,0,cases,0.0,1.5,0.5,81003.17421906977,407.5072153679056,19084.45821131493,407.5072153679056,269,74221.76360150619
11,sarscov2,0,cases,0.0,1.5,0.9,31025.401329202625,164.730212670632,4875.073909415048,164.730212670632,304,85740.3759301163
12,sarscov2,0,cases,0.0,2.0,0.25,89764.38936182932,499.33791483985726,24770.780115088797,499.33791483985726,241,75862.7057288113
13,sarscov2,0,cases,0.0,2.0,0.5,77755.94491234829,368.1453668926548,16807.754323342444,368.1453668926548,286,81917.7911389715
14,sarscov2,0,cases,0.0,2.0,0.9,12593.43434088126,63.70581184236171,1608.846763158631,63.70581184236171,313,92524.98605850893
15,sarscov2,0,cases,1.0,0.0,0.25,91010.02898775166,527.5057337978067,26382.70361335372,527.5057337978067,232,67413.7241771022
16,sarscov2,0,cases,1.0,0.0,0.5,83725.97222703684,443.0238283211568,21273.579206404334,443.0238283211568,254,70799.25214366765
17,sarscov2,0,cases,1.0,0.0,0.9,51635.45826102901,289.5128136478206,10512.261589008733,289.5128136478206,273,73580.0003213479
18,sarscov2,0,cases,1.0,0.5,0.25,90038.45462050619,505.77001971439006,25210.162922941105,505.77001971439006,238,78154.38353050196
19,sarscov2,0,cases,1.0,0.5,0.5,79558.66171559863,389.82907602452053,18232.277530065276,389.82907602452053,273,82858.78786632573
20,sarscov2,0,cases,1.0,0.5,0.9,28494.978218986296,150.07989882557314,4414.130526998346,150.07989882557314,301,87974.10088264853
21,sarscov2,0,cases,1.0,1.0,0.25,89301.77124896235,489.615491916392,24315.656946399653,489.615491916392,243,84257.37843392688
22,sarscov2,0,cases,1.0,1.0,0.5,76047.8235408109,348.82977618332467,15868.435275805447,348.82977618332467,292,89370.52455514188
23,sarscov2,0,cases,1.0,1.0,0.9,10734.550333524403,53.91643837711284,1383.4404292203653,53.91643837711284,304,93684.82288748313
24,sarscov2,0,cases,1.0,1.5,0.25,88732.45866222051,477.31440696343554,23618.40082172076,477.31440696343554,247,87999.65021188409
25,sarscov2,0,cases,1.0,1.5,0.5,73133.69970613002,317.23754750374826,14033.934451346722,317.23754750374826,311,93071.88893914499
26,sarscov2,0,cases,1.0,1.5,0.9,3459.2740485221357,16.962298392992643,438.1285677808344,16.962298392992643,272,95124.4124281267
27,sarscov2,0,cases,1.0,2.0,0.25,88284.60491639884,467.7446571423459,23066.071419111162,467.7446571423459,251,90508.85499339562
28,sarscov2,0,cases,1.0,2.0,0.5,70740.22322968449,292.8359685533354,12607.87617472196,292.8359685533354,329,95247.32450863907
29,sarscov2,0,cases,1.0,2.0,0.9,1332.6333159195547,6.450709297438337,177.5397130521713,6.450709297438337,236,95468.46311962655
30,sarscov2,0,cases,2.0,0.0,0.25,88829.27461954381,479.7902179799868,23830.89705500885,479.7902179799868,245,90602.16555768793
31,sarscov2,0,cases,2.0,0.0,0.5,74230.44337282961,329.085496674954,14907.75171982783,329.085496674954,300,94532.7189258973
32,sarscov2,0,cases,2.0,0.0,0.9,9113.497963060046,45.46805498902289,1189.1918257059497,45.46805498902289,295,94636.3268400189
33,sarscov2,0,cases,2.0,0.5,0.25,88267.71095667567,467.77206509907137,23137.39847750473,467.77206509907137,250,93291.91053044633
34,sarscov2,0,cases,2.0,0.5,0.5,71197.36003829844,297.60846261148174,13064.455784078295,297.60846261148174,321,96901.84264235222
35,sarscov2,0,cases,2.0,0.5,0.9,2932.3191186375993,14.312710646476463,382.10326319333336,14.312710646476463,262,95695.86432999952
36,sarscov2,0,cases,2.0,1.0,0.25,87837.73205685797,458.6573758056699,22611.961485319778,458.6573758056699,254,94931.24863559134
37,sarscov2,0,cases,2.0,1.0,0.5,68778.59512068561,274.03732268050726,11672.787454791549,274.03732268050726,340,98107.13474947894
38,sarscov2,0,cases,2.0,1.0,0.9,1162.3011269194062,5.60460438052331,159.53252294029772,5.60460438052331,227,95872.20050669923
39,sarscov2,0,cases,2.0,1.5,0.25,87501.83761409033,451.586761147562,22184.21711784845,451.586761147562,257,95988.54137408361
40,sarscov2,0,cases,2.0,1.5,0.5,66865.30796814781,256.29995306900025,10612.109239225389,256.29995306900025,358,98775.70353502301
41,sarscov2,0,cases,2.0,1.5,0.9,569.3736190517667,2.719656122623444,82.85281344387343,2.719656122623444,199,95899.92801842747
42,sarscov2,0,cases,2.0,2.0,0.25,87234.66210712686,445.9922823771554,21855.098479547756,445.9922823771554,259,96700.03316805988
43,sarscov2,0,cases,2.0,2.0,0.5,65356.60162261416,242.85278414030464,9800.675468110836,242.85278414030464,374,99159.77367593064
44,sarscov2,0,cases,2.0,2.0,0.9,325.77202260041815,1.5428487066597725,50.10883972735366,1.5428487066597725,177,95897.653542014
45,sarscov2,0,deaths,0.0,0.0,0.25,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
46,sarscov2,0,deaths,0.0,0.0,0.5,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
47,sarscov2,0,deaths,0.0,0.0,0.9,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
48,sarscov2,0,deaths,0.0,0.5,0.25,92638.09742307042,565.0253909305434,28316.892387206983,565.0253909305434,223,37494.24953760033
49,sarscov2,0,deaths,0.0,0.5,0.5,89456.88297570296,525.1125571905808,25897.757231308387,525.1125571905808,232,39964.33699314055
50,sarscov2,0,deaths,0.0,0.5,0.9,76302.91673264255,459.66020410786166,20490.42067313794,459.66020410786166,238,42507.300272309134
51,sarscov2,0,deaths,0.0,1.0,0.25,91447.40109276638,537.3582769543403,26883.549073104034,537.3582769543403,229,58433.05843136233
52,sarscov2,0,deaths,0.0,1.0,0.5,85064.21849639209,461.2090098303946,22310.799626484077,461.2090098303946,248,64134.260637905594
53,sarscov2,0,deaths,0.0,1.0,0.9,56666.3270428513,321.7239182690138,12377.603213246883,321.7239182690138,261,70399.29277450206
54,sarscov2,0,deaths,0.0,1.5,0.25,90487.3183741116,515.6429775629828,25720.40198504438,515.6429775629828,235,70812.70499583842
55,sarscov2,0,deaths,0.0,1.5,0.5,81016.97119210017,407.85826425069126,19301.27289678104,407.85826425069126,265,78365.49218166478
56,sarscov2,0,deaths,0.0,1.5,0.9,35664.37088894749,190.793981211201,6205.922103447931,190.793981211201,284,86378.67921549952
57,sarscov2,0,deaths,0.0,2.0,0.25,89712.94786868371,498.48934843494567,24785.388768429537,498.48934843494567,240,78413.0570011986
58,sarscov2,0,deaths,0.0,2.0,0.5,77380.84140326148,364.01659588717314,16801.15297744555,364.01659588717314,282,86556.69989164265
59,sarscov2,0,deaths,0.0,2.0,0.9,17091.156203170398,86.83691656898385,2483.1119964736145,86.83691656898385,291,93506.20317829157
60,sarscov2,0,deaths,1.0,0.0,0.25,91010.02898775166,527.5057337978067,26382.70361335372,527.5057337978067,232,67413.7241771022
61,sarscov2,0,deaths,1.0,0.0,0.5,83725.97222703684,443.0238283211568,21273.579206404334,443.0238283211568,254,70799.25214366765
62,sarscov2,0,deaths,1.0,0.0,0.9,51635.45826102901,289.5128136478206,10512.261589008733,289.5128136478206,273,73580.0003213479
63,sarscov2,0,deaths,1.0,0.5,0.25,90051.13812821108,506.13213891029534,25242.612013964972,506.13213891029534,237,78550.40047252839
64,sarscov2,0,deaths,1.0,0.5,0.5,79574.86666145908,390.08118273548826,18310.392997377603,390.08118273548826,272,83912.77590283193
65,sarscov2,0,deaths,1.0,0.5,0.9,30011.09936845186,158.43927683012646,4812.574968254818,158.43927683012646,295,88224.53989863418
